Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Area px^2,Perimeter px
20220510_G10002_Thyr-A1-UU-TP-1A-Rap-G.jpg,PathAnnotationObject,,Image,Ellipse,4678.5,2664.5,11.78,12.76
20220510_G10002_Thyr-A1-UU-TP-1A-Rap-G.jpg,PathAnnotationObject,,Image,Ellipse,4508.5,1686,9.425,11.05
20220510_G10002_Thyr-A1-UU-TP-1A-Rap-G.jpg,PathAnnotationObject,,Image,Ellipse,4752.5,1722.5,7.069,9.425
20220510_G10002_Thyr-A1-UU-TP-1A-Rap-G.jpg,PathAnnotationObject,,Image,Ellipse,1830,1647,3.142,6.283
20220510_G10002_Thyr-A1-UU-TP-1A-Rap-G.jpg,PathAnnotationObject,,Image,Ellipse,1818.5,1873,1.571,4.844
20220510_G10002_Thyr-A1-UU-TP-1A-Rap-G.jpg,PathAnnotationObject,,Image,Ellipse,2067,3759.5,4.712,7.933
20220510_G10002_Thyr-A1-UU-TP-1A-Rap-G.jpg,PathAnnotationObject,,Image,Ellipse,5275,3972,12.57,12.57
20220510_G10002_Thyr-A1-UU-TP-1A-Uns-G.jpg,PathAnnotationObject,,Image,Ellipse,4721.5,2258,9.425,11.05
20220510_G10002_Thyr-A1-UU-TP-1A-Uns-G.jpg,PathAnnotationObject,,Image,Ellipse,4551.5,1279.5,11.78,12.76
20220510_G10002_Thyr-A1-UU-TP-1A-Uns-G.jpg,PathAnnotationObject,,Image,Ellipse,4796,1314.5,4.712,7.933
20220510_G10002_Thyr-A1-UU-TP-1A-Uns-G.jpg,PathAnnotationObject,,Image,Ellipse,1877,1242,3.142,6.283
20220510_G10002_Thyr-A1-UU-TP-1A-Uns-G.jpg,PathAnnotationObject,,Image,Ellipse,1860,1464.5,7.854,11.51
20220510_G10002_Thyr-A1-UU-TP-1A-Uns-G.jpg,PathAnnotationObject,,Image,Ellipse,2110,3350.5,1.571,4.844
20220510_G10002_Thyr-A1-UU-TP-1A-Uns-G.jpg,PathAnnotationObject,,Image,Ellipse,5317.5,3563,15.71,14.18
CT001-035B_HD.jpg,PathAnnotationObject,,Image,Ellipse,1869.5,3203,15.71,14.18
CT001-035B_HD.jpg,PathAnnotationObject,,Image,Ellipse,1408,2337.5,1.571,4.844
CT001-035B_HD.jpg,PathAnnotationObject,,Image,Ellipse,3178,1937.5,4.712,7.933
CT001-035B_HD.jpg,PathAnnotationObject,,Image,Ellipse,3772,2245.5,7.854,11.51
CT001-035B_HD.jpg,PathAnnotationObject,,Image,Ellipse,3687.5,3189,15.71,14.18
CT001-035B_HD.jpg,PathAnnotationObject,,Image,Ellipse,4206.5,5192,9.425,11.05
CT001-035B_HD.jpg,PathAnnotationObject,,Image,Ellipse,1886.5,6536.5,2.356,6.682
CT001-035B_unstained_HD.jpg,PathAnnotationObject,,Image,Ellipse,1029,904,12.57,12.57
CT001-035B_unstained_HD.jpg,PathAnnotationObject,,Image,Ellipse,783.5,478.5,0.7854,3.142
CT001-035B_unstained_HD.jpg,PathAnnotationObject,,Image,Ellipse,1678,280,3.142,6.283
CT001-035B_unstained_HD.jpg,PathAnnotationObject,,Image,Ellipse,1971,428.5,4.712,7.933
CT001-035B_unstained_HD.jpg,PathAnnotationObject,,Image,Ellipse,1930,899,3.142,6.283
CT001-035B_unstained_HD.jpg,PathAnnotationObject,,Image,Ellipse,2187,1892,3.142,6.283
CT001-035B_unstained_HD.jpg,PathAnnotationObject,,Image,Ellipse,1033,2557,3.142,6.283
